%Items%
%Name, Inspect, ID%

&Rock, its a rock, i1 &

&Cheese, its a cheese, i2 &

&Door Handle, its a door handle, i3 &

&Laptop, its a laptop , i4 &

&Burrito, Vegan with no cheese please , i5 &

&Hellfire Delux, An amazing discontinued burger from meat counter , i6 &

&Quorn Nuggets, Legend has it these are still available in asda, i7 &

&Student ID, I have always wanted to be a student, i8 &

&A packet Of Quavers, who could leave such valuables lying around?, i9 &

&Tooth Brush, You should never overlook your dental hygiene, i10 &





